SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NIFTYFMGC,19960101,-,-,-,1000.00,-,0,0
NIFTYFMGC,19960102,-,-,-,997.82,-,0,0
NIFTYFMGC,19960103,-,-,-,991.42,-,0,0
NIFTYFMGC,19960104,-,-,-,991.48,-,0,0
NIFTYFMGC,19960105,-,-,-,986.17,-,0,0
NIFTYFMGC,19960108,-,-,-,975.70,-,0,0
NIFTYFMGC,19960109,-,-,-,972.73,-,0,0
NIFTYFMGC,19960110,-,-,-,974.81,-,0,0
NIFTYFMGC,19960111,-,-,-,977.78,-,0,0
NIFTYFMGC,19960112,-,-,-,983.22,-,0,0
NIFTYFMGC,19960115,-,-,-,979.09,-,0,0
NIFTYFMGC,19960116,-,-,-,977.14,-,0,0
NIFTYFMGC,19960117,-,-,-,978.49,-,0,0
NIFTYFMGC,19960118,-,-,-,970.90,-,0,0
NIFTYFMGC,19960119,-,-,-,964.20,-,0,0
NIFTYFMGC,19960122,-,-,-,958.81,-,0,0
NIFTYFMGC,19960123,-,-,-,940.00,-,0,0
NIFTYFMGC,19960124,-,-,-,928.35,-,0,0
NIFTYFMGC,19960125,-,-,-,920.82,-,0,0
NIFTYFMGC,19960129,-,-,-,936.36,-,0,0
NIFTYFMGC,19960130,-,-,-,953.68,-,0,0
NIFTYFMGC,19960131,-,-,-,950.51,-,0,0
NIFTYFMGC,19960201,-,-,-,968.40,-,0,0
NIFTYFMGC,19960202,-,-,-,1012.03,-,0,0
NIFTYFMGC,19960205,-,-,-,1040.40,-,0,0
NIFTYFMGC,19960206,-,-,-,1025.73,-,0,0
NIFTYFMGC,19960207,-,-,-,1023.68,-,0,0
NIFTYFMGC,19960208,-,-,-,1062.19,-,0,0
NIFTYFMGC,19960209,-,-,-,1085.56,-,0,0
NIFTYFMGC,19960212,-,-,-,1098.65,-,0,0
NIFTYFMGC,19960213,-,-,-,1114.44,-,0,0
NIFTYFMGC,19960214,-,-,-,1138.92,-,0,0
NIFTYFMGC,19960215,-,-,-,1146.77,-,0,0
NIFTYFMGC,19960216,-,-,-,1123.26,-,0,0
NIFTYFMGC,19960219,-,-,-,1119.08,-,0,0
NIFTYFMGC,19960220,-,-,-,1093.01,-,0,0
NIFTYFMGC,19960222,-,-,-,1114.70,-,0,0
NIFTYFMGC,19960223,-,-,-,1115.11,-,0,0
NIFTYFMGC,19960226,-,-,-,1113.33,-,0,0
NIFTYFMGC,19960227,-,-,-,1109.72,-,0,0
NIFTYFMGC,19960228,-,-,-,1107.37,-,0,0
NIFTYFMGC,19960229,-,-,-,1076.35,-,0,0
NIFTYFMGC,19960301,-,-,-,1080.04,-,0,0
NIFTYFMGC,19960304,-,-,-,1075.04,-,0,0
NIFTYFMGC,19960306,-,-,-,1076.78,-,0,0
NIFTYFMGC,19960307,-,-,-,1059.71,-,0,0
NIFTYFMGC,19960308,-,-,-,1046.54,-,0,0
NIFTYFMGC,19960311,-,-,-,1037.04,-,0,0
NIFTYFMGC,19960312,-,-,-,1035.19,-,0,0
NIFTYFMGC,19960313,-,-,-,1062.08,-,0,0
NIFTYFMGC,19960314,-,-,-,1065.99,-,0,0
