SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NIFTYSHARIAH25,20090101,-,-,-,1000.00,-,0,0
NIFTYSHARIAH25,20090102,-,-,-,997.75,-,0,0
NIFTYSHARIAH25,20090105,-,-,-,1021.95,-,0,0
NIFTYSHARIAH25,20090106,-,-,-,1019.45,-,0,0
NIFTYSHARIAH25,20090107,-,-,-,953.10,-,0,0
NIFTYSHARIAH25,20090109,-,-,-,937.00,-,0,0
NIFTYSHARIAH25,20090112,-,-,-,906.55,-,0,0
NIFTYSHARIAH25,20090113,-,-,-,904.65,-,0,0
NIFTYSHARIAH25,20090114,-,-,-,934.55,-,0,0
NIFTYSHARIAH25,20090115,-,-,-,908.75,-,0,0
NIFTYSHARIAH25,20090116,-,-,-,937.05,-,0,0
NIFTYSHARIAH25,20090119,-,-,-,942.25,-,0,0
NIFTYSHARIAH25,20090120,-,-,-,923.45,-,0,0
NIFTYSHARIAH25,20090121,-,-,-,895.65,-,0,0
NIFTYSHARIAH25,20090122,-,-,-,896.55,-,0,0
NIFTYSHARIAH25,20090123,-,-,-,883.90,-,0,0
NIFTYSHARIAH25,20090127,-,-,-,915.75,-,0,0
NIFTYSHARIAH25,20090128,-,-,-,937.50,-,0,0
NIFTYSHARIAH25,20090129,-,-,-,930.20,-,0,0
NIFTYSHARIAH25,20090130,-,-,-,946.35,-,0,0
NIFTYSHARIAH25,20090202,-,-,-,920.35,-,0,0
NIFTYSHARIAH25,20090203,-,-,-,929.10,-,0,0
NIFTYSHARIAH25,20090204,-,-,-,935.10,-,0,0
NIFTYSHARIAH25,20090205,-,-,-,921.80,-,0,0
NIFTYSHARIAH25,20090206,-,-,-,941.50,-,0,0
NIFTYSHARIAH25,20090209,-,-,-,967.30,-,0,0
NIFTYSHARIAH25,20090210,-,-,-,975.65,-,0,0
NIFTYSHARIAH25,20090211,-,-,-,970.75,-,0,0
NIFTYSHARIAH25,20090212,-,-,-,956.45,-,0,0
NIFTYSHARIAH25,20090213,-,-,-,970.90,-,0,0
NIFTYSHARIAH25,20090216,-,-,-,939.90,-,0,0
NIFTYSHARIAH25,20090217,-,-,-,917.65,-,0,0
NIFTYSHARIAH25,20090218,-,-,-,921.10,-,0,0
NIFTYSHARIAH25,20090219,-,-,-,925.40,-,0,0
NIFTYSHARIAH25,20090220,-,-,-,908.15,-,0,0
NIFTYSHARIAH25,20090224,-,-,-,909.35,-,0,0
NIFTYSHARIAH25,20090225,-,-,-,918.75,-,0,0
